"販売先予約番号","通知種別","プランコード","販売先コード","チェックイン日","チェックアウト日","泊数","室タイプ名（１）","利用客室合計数","お客様総合計人数","大人人員(男性)合計","大人人員(女性)合計","子供A人数合計","子供B人数合計","子供C人数合計","子供D人数合計","料金（大人男）（１）","料金（大人女）（１）","料金（子Ａ）（１）","料金（子Ｂ）（１）","料金（子Ｃ）（１）","料金（子Ｄ）（１）","プラン名","大人人数","備考","販売先名","料金単価区分","税サ区分"
"6202399336-001-001","予約","G0A","151","20260614","20260615","1","和室12.5畳","1","4","4","0","0","0","0","0","23430","","","","","","【JAPANiCAN】夕食メインは黒毛和牛使用『ステーキ』","4","上記の精算額は未精算です[ｲﾝﾀｰﾈｯﾄ予約/現地払い]。宿泊料金・入湯税・宿泊税・その他館内の利用料金等、全ての料金を現地でお客様から収受してください。※下記、取扱個所が［Agoda外国語］or［Ctrip外国語］の場合については、取消料はＪＴＢがお支払いします。お客様への請求は不要です。ただし、現地払いの一部取消で、宿泊されるお客様が既にご到着されている場合は、直接お客様よりご収受ください。残室数（通知作成時の残室状況です）：「本予約はe-Hotel在庫を使用」06月14日 A1 残室 ※室         01 残室 ※室","JTB現地払_るるぶ","人員単価","サ込税込"
"RYa0mwdsn7","予約","4316992","161","20261101","20261103","2","和室12.5畳","1","2","0","2","0","0","0","0","","23067","","","","","【さき楽60プラン】60日前までのご予約で10％OFF＆【ポイント6倍】お得に湯布院を満喫（2食付）","2","決済内容：カード決済★ 事前  支払額：\83,042[割引額原資内訳]エージェント原資：\9,226朝夕食付連泊です楽天トラベルボーナスプログラムレベル 02026-06-05 06:51:35","楽天トラベル","人員単価","サ込税込"
"24996-05824(0003)","予約","17242284","102","20260920","20260921","1","和室12.5畳","1","4","2","2","0","0","0","0","28000","28000","","","","","パーソナリップ九州 ■２６年度パーソナリップ九州　大分 【早３０】和室　黒毛和牛の陶板焼き会席","4","夕・朝食付送客番号:0093267461","近畿日本ツーリスト","人員単価","サ込税別"
"6184661346-001-001","取消","I03","101","20261213","20261215","2","和室18畳","1","4","4","0","0","0","0","0","23100","","","","","","TA◆お部屋タイプお約束プラン／一泊二食付き","4","決済内容：エージェント精算★取消料は\0です。取消料はＪＴＢがお支払いします。予約内容が変更されていても、内訳詳細、内訳金額、宿泊料合計は予約時の金額で表示される場合がございます。残室数（通知作成時の残室状況です）：「本予約はHR客室在庫を使用(残室数は今現在の数値ではございません)」12月13日 X5 残室 ※室         05 残室 ※室12月14日 X5 残室 ※室         05 残室 ※室","JTB事前決済_HR2","人員単価","サ込税込"
"8UA0CNLX","予約","L0324221","166","20261213","20261215","2","和室12.5畳","1","4","4","","","","","","20130","","","","","","九州産黒毛和牛の陶板焼き、新鮮なお造りなど「旬会席」を堪能◆スタンダードプラン（2食付）","4","決済内容：エージェント精算★【精算不要】朝夕食付質問1：上記要望欄で不足した内容はここにご記入ください。LargeBed, NonSmoke過去宿泊実績：なし","じゃらんnet","人員単価","サ込税込"
"1734212085","予約","12807701","146","20260615","20260616","1","露天風呂付和室12.5畳","3","6","6","","0","","","","","","","","","","Hafboard - Pork shabu-shabu!","6","決済内容：エージェント精算★支払い方法：銀行振込朝夕食付[Requests]NonSmoke, TwinBeds[Benefits]Dinner included, Free WiFi, Breakfast, Parking[ExtraBed]0 [Nationality]Hong Kong SAR, China [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"2019323502","予約","12807546","146","20261108","20261110","2","和室12.5畳素泊まり部屋","1","4","3","","1","","","","","","","","","","Room Only - No meals","3","決済内容：エージェント精算★支払い方法：銀行振込食事なし[Requests]NonSmoke, TwinBeds[Benefits]Parking, Free WiFi[ExtraBed]0 [Nationality]Thailand [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"1734209176","予約","12807546","146","20260622","20260623","1","和室12.5畳素泊まり部屋","1","2","2","","0","","","","","","","","","","Room Only - No meals","2","決済内容：エージェント精算★支払い方法：銀行振込食事なし[Requests]NonSmoke, HighFloor, LargeBed, QuietRoom, ArrivalTime:14 00 - 15 00, AdditionalNotes:?? ?? ??.[Benefits]Free WiFi, Parking[ExtraBed]0 [Nationality]South Korea [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"1731443604","取消","12807701","146","20260615","20260616","1","露天風呂付和室12.5畳","2","5","5","","0","","","","","","","","","","Hafboard - Pork shabu-shabu!","5","決済内容：エージェント精算★支払い方法：銀行振込朝夕食付[Requests]TwinBeds, AdjoiningRoom, ArrivalTime:17 00 - 18 00[Benefits]Parking, Breakfast, Free WiFi, Dinner included[ExtraBed]0 [Nationality]Hong Kong SAR, China [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"665942755","予約","12807546","146","20260629","20260630","1","和室12.5畳素泊まり部屋","1","4","2","","2","","","","","","","","","","Room Only - No meals","2","決済内容：エージェント精算★支払い方法：銀行振込食事なし[Benefits]Free WiFi, Parking[ExtraBed]0 [Nationality]Taiwan [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"8UA0V8MU","予約","03510680","166","20261226","20261227","1","和室12.5畳","1","3","1","2","","","","","25047","25047","","","","","【早期割30プラン】30日前までのご予約で10％OFF★お得に湯布院を満喫！（2食付）","3","朝夕食付質問1：・ご到着が18：00を過ぎる場合は連絡をお願いします。・お子様連れの場合、お子様の性別、年齢、人数をお教えください。・当日お客様と連絡が取れる電話番号（携帯電話など）をお教えください。・アレルギーなどがありましたら、該当者・アレルギーの種類・人数等お申し付けください。・複数の客室をご予約の場合、事前にお知らせください。食事は何時もの様に個室でお願いします（追加料金についても何時もの様に承知しています）過去宿泊実績：なし","じゃらんHPﾀﾞｲﾚｸﾄ","人員単価","サ込税込"
"IY1614449988","予約","2017022002","180","20260726","20260727","1","和室12.5畳","1","2","1","1","","","","","22330","22330","","","","","ほっこり温泉で湯布院満喫！夕食は人気の豊後豚のしゃぶしゃぶで決まり！","2","決済内容：カード決済★支払い方法：クレジットカード朝夕食付質問1：・当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。(回答1：09099121905)","一休.com","人員単価","サ込税込"
"22315095970476","取消","15123457000465","11Z","20260916","20260917","1","和室12.5畳","1","2","2","","","","","","20097","","","","","","さき楽60プラン [夕食付き(和食)] [朝食付き(和食)]","2","決済内容：法人利用★キャンセル料：\0LargeBed, NonSmoke朝夕食付質問1：ご到着が１８：００を過ぎる場合は連絡をお願いします。質問2：2食付プランの場合、19:30までにチェックインしてください。19：30以降に到着した場合夕食を提供できない可能性があります（返金不可）質問3：2020年４月１日より全館・全室禁煙とさせていただきます。質問4：当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。質問5：大人のお客様は入湯税２５０円が別途必要です。質問6：0歳以上６歳以下のお子様で添寝の場合、施設使用料2200円（税込）が別途必要です。質問7：アレルギーなどがありましたら、該当者・アレルギーの種類・人数等お申し付けください。質問8：お子様連れの場合、お子様の性別、年齢、人数をお教えください。6歳以下のお子様のお食事はお子様ランチとなります。7歳以上のお子様は大人と同等の料理内容になります。7歳以上のお子様のお食事をお子様ランチに変更希望の場合は必ず事前にご連絡下さい。(料金は変わりません)質問9：１５名様以上の団体予約のキャンセル料は１５日前から３０％となります。質問10：複数の客室をご予約の場合、事前にお知らせください。事前連絡がない場合、グループ様対応、連泊対応ができない場合がございます質問11：・ご到着が18:00を過ぎる場合は連絡をお願いします。・お子様連れの場合、お子様の性別、年齢、人数をお教えください。・当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。・アレルギーなどがありましたら、該当者・アレルギーの種類・人数等お申し付けください。Parent Booking ID:21315091678003DistributorID:do5jnnvj2026-06-04 19:46:542026-06-04 19:46:54","楽天グローバルプラットフォーム","人員単価","サ込税込"
"1734089317","予約","12807701","146","20260916","20260917","1","露天風呂付和室12.5畳","1","2","2","","0","","","","","","","","","","Hafboard - Pork shabu-shabu!","2","決済内容：エージェント精算★支払い方法：銀行振込朝夕食付[Requests]NonSmoke, LargeBed[Benefits]Dinner included, Breakfast, Parking, Free WiFi[ExtraBed]0 [Nationality]Taiwan [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"J22-210-269","予約","82119654009015","193","20261111","20261112","1","露天風呂付和室12.5畳","1","2","2","0","0","0","0","0","25000","","","","0","0","上期行こうよ九州　露天風呂付和室　禁煙　12.5tatami　夕食：基本【早60】","2","決済内容：ツアー会社精算★・合計料金について、2026年3月31日までの宿泊分は入湯税・宿泊税が含まれていますので、お客様からは収受しないようお願い致します。2026年4月1日以降の宿泊分は入湯税・宿泊税は含まれておりませんので、貴館にてお客様から直接収受いただきますようお願い致します。・尚、宿泊が3月と4月をまたぐ連泊の場合、税金区分の表記は「サ込税込」ですが、実際には4月1日以降の宿泊分の入湯税・宿泊税は含まれておりませんので、貴館にてお客様から直接収受いただきますようお願い致します。（3月31日以前の宿泊分の入湯税・宿泊税は含まれておりますのでお客様からは収受しないようお願い致します。）※宿泊が3月と4月をまたぐ連泊の対応例＜例＞ チェックイン：2026年3月31日　／　チェックアウト：2026年4月3日　⇒3月31日宿泊分はKNTにて収受済、4月1日・2日宿泊分は貴館にて収受・従来通り自動精算にて精算いたします。KNTの精算明細にてご確認ください。・「予約者情報」欄は、提携販売の場合、提携先名称となります。・提携先の予約情報入力欄に性別選択の項目がない場合、本通知では男性として表示されます。・宿泊者部屋割Room1: Wong Ka Chuen, Wong Ka Chuen","KNT JTO Center","人員単価","サ込税別"
"J22-210-260","予約","82119654009016","193","20260730","20260731","1","露天風呂付和室12.5畳","1","3","3","0","0","0","0","0","23500","","","","0","0","上期行こうよ九州　露天風呂付和室　禁煙　12.5tatami　夕食：基本【早30】","3","決済内容：ツアー会社精算★・合計料金について、2026年3月31日までの宿泊分は入湯税・宿泊税が含まれていますので、お客様からは収受しないようお願い致します。2026年4月1日以降の宿泊分は入湯税・宿泊税は含まれておりませんので、貴館にてお客様から直接収受いただきますようお願い致します。・尚、宿泊が3月と4月をまたぐ連泊の場合、税金区分の表記は「サ込税込」ですが、実際には4月1日以降の宿泊分の入湯税・宿泊税は含まれておりませんので、貴館にてお客様から直接収受いただきますようお願い致します。（3月31日以前の宿泊分の入湯税・宿泊税は含まれておりますのでお客様からは収受しないようお願い致します。）※宿泊が3月と4月をまたぐ連泊の対応例＜例＞ チェックイン：2026年3月31日　／　チェックアウト：2026年4月3日　⇒3月31日宿泊分はKNTにて収受済、4月1日・2日宿泊分は貴館にて収受・従来通り自動精算にて精算いたします。KNTの精算明細にてご確認ください。・「予約者情報」欄は、提携販売の場合、提携先名称となります。・提携先の予約情報入力欄に性別選択の項目がない場合、本通知では男性として表示されます。・宿泊者部屋割Room1: LI MEI KI MAGGIE, LI MEI KI MAGGIE, LI MEI KI MAGGIE","KNT JTO Center","人員単価","サ込税別"
"8RAT3QW9","取消","L2504939","166","20261006","20261007","1","和室18畳","1","5","5","","","","","","17127","","","","","","【じゃらんのお得な10日間】九州産黒毛和牛の陶板焼きなど「旬会席」を堪能（2食付）","5","決済内容：エージェント精算★【精算不要】朝夕食付質問1：上記要望欄で不足した内容はここにご記入ください。1616330616116604過去宿泊実績：なし","じゃらんnet","人員単価","サ込税込"
"22315095970476","予約","15123457000465","11Z","20260916","20260917","1","和室12.5畳","1","2","2","","","","","","20097","","","","","","さき楽60プラン [夕食付き(和食)] [朝食付き(和食)]","2","決済内容：法人利用★LargeBed, NonSmoke朝夕食付質問1：ご到着が１８：００を過ぎる場合は連絡をお願いします。質問2：2食付プランの場合、19:30までにチェックインしてください。19：30以降に到着した場合夕食を提供できない可能性があります（返金不可）質問3：2020年４月１日より全館・全室禁煙とさせていただきます。質問4：当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。質問5：大人のお客様は入湯税２５０円が別途必要です。質問6：0歳以上６歳以下のお子様で添寝の場合、施設使用料2200円（税込）が別途必要です。質問7：アレルギーなどがありましたら、該当者・アレルギーの種類・人数等お申し付けください。質問8：お子様連れの場合、お子様の性別、年齢、人数をお教えください。6歳以下のお子様のお食事はお子様ランチとなります。7歳以上のお子様は大人と同等の料理内容になります。7歳以上のお子様のお食事をお子様ランチに変更希望の場合は必ず事前にご連絡下さい。(料金は変わりません)質問9：１５名様以上の団体予約のキャンセル料は１５日前から３０％となります。質問10：複数の客室をご予約の場合、事前にお知らせください。事前連絡がない場合、グループ様対応、連泊対応ができない場合がございます質問11：・ご到着が18:00を過ぎる場合は連絡をお願いします。・お子様連れの場合、お子様の性別、年齢、人数をお教えください。・当日お客様と連絡が取れる電話番号(携帯電話など)をお教えください。・アレルギーなどがありましたら、該当者・アレルギーの種類・人数等お申し付けください。Parent Booking ID:21315091678003DistributorID:do5jnnvj2026-06-04 16:45:30","楽天グローバルプラットフォーム","人員単価","サ込税込"
"2476239938","取消","206903313","147","20260809","20260811","2","和室12.5畳","1","3","2","","1","0","0","0","","","","","","","Half Board(2-4名)(LAR)","2","決済内容：カード決済★支払い方法：Expedia Collect[子供内訳]12歳1人","Expedia","室料単価","サ込税込"
"2476242178","予約","386431682","147","20260627","20260628","1","和室12.5畳素泊まり部屋","1","3","2","","1","0","0","0","","","","","","","Room Only(1-4名)(LAR)","2","決済内容：カード決済★支払い方法：Expedia Collect[税合計]\7,371[Bedding type]4 Twin Futons [Smoking/Non-smoking]Non-Smoking [Free text (guest comments entered at booking on Expedia)]Guest Info:LINGXIAO/MENG;Away from lift;Windowed room;Quite room;High floor [Payment instructions]Remittance amount: 36,100[子供内訳]12歳1人","Expedia","室料単価","サ込税込"
"1128147958521899","取消","1478820174","12Z","20260627","20260628","1","和室12.5畳素泊まり部屋","1","3","3","","","","","","","","","","","","BAR-素泊り - 1478820174","3","決済内容：エージェント精算★Guests searching number for booking: 2AD 1CH (Age: 12)Guest Names: MENG LINGXIAO","Trip.com Group(new)","室料単価","サ込税込"
"2476239938","予約","206903313","147","20260809","20260811","2","和室12.5畳","1","3","2","","1","0","0","0","","","","","","","Half Board(2-4名)(LAR)","2","決済内容：カード決済★支払い方法：Expedia Collect[税合計]\27,112[Bedding type] [Payment instructions]Remittance amount: 132,788[子供内訳]12歳1人","Expedia","室料単価","サ込税込"
"1733989466","予約","12807546","146","20260912","20260913","1","和室12.5畳素泊まり部屋","1","2","2","","0","","","","","","","","","","Room Only - No meals","2","決済内容：エージェント精算★支払い方法：銀行振込食事なし[Requests]NonSmoke, HighFloor, LargeBed, QuietRoom, AdditionalNotes:private bathroom.baby bathtub. 申請中 停車場  蜜月.[Benefits]Parking, Free WiFi[ExtraBed]0 [Nationality]Taiwan [CancelCode]7D50P_3D100P_100P","Agoda","室料単価","サ込税込"
"L428307540-001-001-1","予約","A0S","101","20260920","20260921","1","和室12.5畳","1","3","2","1","0","0","0","0","28930","28930","","","","","【施設登録プラン】人気の豊後豚のしゃぶしゃぶで決まり！（2食付）","3","決済内容：エージェント精算★上記の宿泊料金は精算済です[店頭予約/事前決済]。お客様からの収受は不要です。JTBよりお支払いします。入湯税・宿泊税・その他館内の利用料金等は、現地でお客様から収受してください。施設からの質問の回答：アレルギーなし　携帯０９０?９８９０?２６９６客室様式：和室眺望：山 庭園 夜景 田園設備：風呂 シャワー トイレ 洋式トイレ ウォシュレット等 冷房 暖房 冷蔵庫 テレビ 貸金庫 ズボンプレッサー ポット使用在庫情報：「本予約はHR客室在庫を使用」","JTB（手配・るるぶ）","人員単価","サ込税込"
